StockCode,total_orders,total_sales,maximum_sales,minimum_sales,mean_sales,median_sales,sales_figure,maximum_figure,minimum_figure,mean_figure,median_figure,cus_count,max_order_cus,mean_order_cus,median_order_cus,refund_ratio,max_order_gap,min_order_gap
20731,8,74,35,1,9.25,6.5,92.5,43.75,1.25,11.5625,8.125,8,1,1,1,0,55,0
20733,49,617,300,-300,12.59183673,2,472.05,216,-216,9.633673469,1.66,29,7,1.689655172,1,0.327153762,43,0
20735,28,152,100,1,5.428571429,1.5,116.2,72,0.85,4.15,1.275,11,15,2.545454545,1,0,54,0
20748,30,53,6,1,1.766666667,1,675.75,76.5,12.75,22.525,12.75,26,3,1.153846154,1,0,39,0
20749,363,1563,204,-2,4.305785124,2,11084.81,1295.4,-15.9,30.53666667,15.9,235,20,1.544680851,1,0.005092298,19,0
20750,358,1660,72,-2,4.636871508,2,11822.6,457.2,-15.9,33.02402235,15.9,232,9,1.543103448,1,0.003601441,15,0
20751,197,971,72,-1,4.92893401,2,1980.06,121.68,-2.1,10.05106599,4.2,126,8,1.563492063,1,0.001028807,13,0
20752,119,365,18,-1,3.067226891,2,766.5,37.8,-2.1,6.441176471,4.2,92,4,1.293478261,1,0.005449591,19,0
20754,244,1355,72,-1,5.553278689,3,2668.38,121.68,-2.1,10.93598361,6.3,153,8,1.594771242,1,0.000737463,12,0
20755,50,280,30,1,5.6,3,238,25.5,0.85,4.76,2.55,43,5,1.162790698,1,0,56,0
20756,22,63,6,1,2.863636364,3,53.55,5.1,0.85,2.434090909,2.55,20,2,1.1,1,0,62,0
20757,33,164,33,1,4.96969697,3,140.18,28.05,0.85,4.247878788,2.55,30,3,1.1,1,0,63,0
20758,41,154,12,1,3.756097561,3,130.9,10.2,0.85,3.192682927,2.55,33,2,1.242424242,1,0,45,0
20759,19,63,12,1,3.315789474,3,53.55,10.2,0.85,2.818421053,2.55,16,2,1.1875,1,0,85,0
20760,22,69,9,1,3.136363636,3,58.65,7.65,0.85,2.665909091,2.55,18,2,1.222222222,1,0,86,0
20761,51,106,8,1,2.078431373,1,404.92,30,3.75,7.939607843,3.75,44,3,1.159090909,1,0,32,0
20762,50,100,8,1,2,1,378.71,30,3.75,7.5742,3.75,42,3,1.19047619,1,0,52,0
20763,24,70,16,1,2.916666667,1,186.21,20,3.75,7.75875,3.75,23,2,1.043478261,1,0,57,0
20764,60,124,9,1,2.066666667,1,476.13,33.75,3.75,7.9355,5.605,44,3,1.363636364,1,0,35,0
20765,52,95,8,1,1.826923077,1,367.38,30,3.75,7.065,3.75,45,3,1.155555556,1,0,39,0
20766,49,111,16,1,2.265306122,1,414.58,47.2,3.75,8.460816327,3.75,40,4,1.225,1,0,48,0
20767,58,209,36,1,3.603448276,2,519.16,75.6,2.55,8.951034483,5.1,49,3,1.183673469,1,0,25,0
20768,34,123,36,1,3.617647059,2,297.45,75.6,2.55,8.748529412,5.1,29,3,1.172413793,1,0,39,0
20769,24,59,6,1,2.458333333,1.5,155.27,15.3,2.55,6.469583333,3.825,20,3,1.2,1,0,105,0
20770,29,108,36,1,3.724137931,2,259.2,75.6,2.55,8.937931034,5.1,24,2,1.208333333,1,0,56,0
20771,27,69,6,1,2.555555556,1,178.36,15.3,2.55,6.605925926,4.96,21,5,1.285714286,1,0,63,0
20772,43,213,53,-1,4.953488372,3,519.3,111.3,-2.55,12.07674419,7.65,37,5,1.162162162,1,0.004672897,58,0
20773,24,56,7,1,2.333333333,2,92.4,11.55,1.65,3.85,3.3,21,2,1.142857143,1,0,52,0
20774,23,52,7,1,2.260869565,2,85.8,11.55,1.65,3.730434783,3.3,21,2,1.095238095,1,0,53,0
20775,22,64,6,1,2.909090909,2,105.6,9.9,1.65,4.8,3.3,19,2,1.157894737,1,0,97,0
20777,36,95,6,1,2.638888889,2,156.75,9.9,1.65,4.354166667,3.3,32,2,1.125,1,0,63,0
20778,8,15,3,1,1.875,2,24.75,4.95,1.65,3.09375,3.3,8,1,1,1,0,62,0
20780,19,37,12,1,1.947368421,1,198.35,55.8,5.49,10.43947368,5.49,13,5,1.461538462,1,0,115,0
20781,19,26,4,-1,1.368421053,1,142.74,21.96,-5.49,7.512631579,5.49,17,2,1.117647059,1,0.037037037,60,0
20782,15,37,6,1,2.466666667,2,203.13,32.94,5.49,13.542,10.98,10,3,1.5,1,0,101,0
20785,5,14,9,1,2.8,1,523.3,323.55,39.95,104.66,39.95,4,2,1.25,1,0,40,0
20793,5,3,5,-5,0.6,1,20.25,33.75,-33.75,4.05,6.75,4,2,1.25,1,0.625,126,0
20794,15,72,12,-8,4.8,8,180,30.6,-20.4,12,16.8,13,2,1.153846154,1,0.111111111,114,0
20795,9,32,12,-5,3.555555556,6,67.2,25.2,-10.5,7.466666667,12.6,6,3,1.5,1,0.157894737,114,0
20796,8,61,16,2,7.625,6,100.65,26.4,3.3,12.58125,9.9,8,1,1,1,0,75,0
20798,6,32,12,-4,5.333333333,5,69,25.2,-6.6,11.5,10.5,6,1,1,1,0.111111111,35,0
20801,57,816,96,-16,14.31578947,16,684.16,72,-12,12.00280702,12,47,3,1.212765957,1,0.037735849,21,0
20802,45,612,72,-36,13.6,6,715.32,104.4,-15.12,15.896,9.9,40,2,1.125,1,0.055555556,35,0
20803,34,849,144,-36,24.97058824,18,357.69,60.48,-15.12,10.52029412,9.9,26,2,1.307692308,1,0.074154853,27,0
20816,2,8,6,2,4,4,15.6,11.7,3.9,7.8,7.8,1,2,2,2,0,0,0
20818,2,12,10,2,6,6,20,12.5,7.5,10,10,2,1,1,1,0,96,0
20819,16,48,12,1,3,2,183.71,45,3.75,11.481875,7.5,14,2,1.142857143,1,0,53,0
20820,2,5,3,2,2.5,2.5,24.75,14.85,9.9,12.375,12.375,2,1,1,1,0,90,0
20821,7,4,6,-6,0.571428571,1,19.8,29.7,-29.7,2.828571429,4.95,5,3,1.4,1,0.75,90,0
20823,8,164,48,4,20.5,16,129.56,37.92,3.16,16.195,12.64,6,2,1.333333333,1,0,29,0
20826,8,276,72,6,34.5,36,128.4,28.08,4.68,16.05,14.04,7,2,1.142857143,1,0,97,0
20827,2,88,72,16,44,44,34.32,28.08,6.24,17.16,17.16,1,2,2,2,0,2,0
20828,180,985,48,1,5.472222222,3,2425.35,100.8,2.55,13.47416667,7.65,116,10,1.551724138,1,0,17,0
20829,171,1127,270,-113,6.590643275,4,2287.43,456.3,-190.97,13.37678363,8.4,89,27,1.921348315,1,0.096230954,15,0
20830,21,74,6,-1,3.523809524,2,155.4,12.6,-2.1,7.4,4.2,20,2,1.05,1,0.013333333,50,0
20831,20,121,48,1,6.05,6,234.42,81.12,2.1,11.721,12.6,15,4,1.333333333,1,0,60,0
20832,57,961,96,-1,16.85964912,12,474.35,37.44,-0.85,8.321929825,8.64,47,3,1.212765957,1,0.001039501,61,0
20835,7,66,12,6,9.428571429,12,54.78,9.96,4.98,7.825714286,9.96,7,1,1,1,0,108,0
20836,18,158,12,-12,8.777777778,12,131.14,9.96,-9.96,7.285555556,9.96,14,2,1.285714286,1,0.070588235,47,0
20837,15,141,12,3,9.4,12,142.47,35.4,2.49,9.498,9.96,14,2,1.071428571,1,0,75,0
20838,34,318,24,-12,9.352941176,12,272.74,20.4,-10.2,8.021764706,10.2,30,2,1.133333333,1,0.036363636,23,0
20839,46,430,24,1,9.347826087,12,393.14,20.4,0.85,8.546521739,10.2,41,3,1.12195122,1,0,92,0
20840,41,414,24,-12,10.09756098,12,356.78,20.4,-10.2,8.70195122,10.2,33,2,1.242424242,1,0.028169014,26,0
20845,11,19,6,1,1.727272727,1,120.65,38.1,6.35,10.96818182,6.35,7,4,1.571428571,1,0,100,0
20846,60,603,100,1,10.05,6.5,725.63,106,1.25,12.09383333,8.125,47,6,1.276595745,1,0,33,0
20847,14,46,12,1,3.285714286,3.5,172.5,45,3.75,12.32142857,13.125,12,2,1.166666667,1,0,65,0
20848,8,21,4,1,2.625,3,61.95,11.8,2.95,7.74375,8.85,7,2,1.142857143,1,0,94,0
20851,7,9,2,1,1.285714286,1,53.55,11.9,5.95,7.65,5.95,5,2,1.4,1,0,27,0
20854,19,152,89,-14,8,2,233,129.05,-23.1,12.26315789,3.3,16,2,1.1875,1,0.084337349,14,0
20856,28,130,12,-10,4.642857143,3,214.5,19.8,-16.5,7.660714286,4.95,26,2,1.076923077,1,0.071428571,31,0
20857,9,17,15,-15,1.888888889,2,28.05,24.75,-24.75,3.116666667,3.3,7,2,1.285714286,1,0.46875,21,0
20861,2,2,1,1,1,1,4.2,2.1,2.1,2.1,2.1,2,1,1,1,0,4,0
20866,36,286,120,-120,7.944444444,5,356.43,127.2,-127.2,9.900833333,6.25,32,2,1.125,1,0.295566502,73,0
20867,23,185,36,1,8.043478261,4,228.97,45,1.25,9.955217391,5,21,2,1.095238095,1,0,102,0
20868,27,374,60,1,13.85185185,4,156.53,23.4,0.39,5.797407407,2.34,25,2,1.08,1,0,85,0
20869,16,133,60,1,8.3125,4,51.87,23.4,0.39,3.241875,1.56,15,2,1.066666667,1,0,63,0
20878,8,25,8,1,3.125,2.5,31.25,10,1.25,3.90625,3.125,7,2,1.142857143,1,0,3,0
20886,80,447,100,-6,5.5875,4,841.65,165,-11.7,10.520625,7.8,56,12,1.428571429,1,0.013245033,18,0
20892,1,1,1,1,1,1,12.75,12.75,12.75,12.75,12.75,1,1,1,1,0,0,0
20893,20,164,108,-36,8.2,1.5,369.6,226.8,-75.6,18.48,3.825,16,2,1.25,1,0.18,52,0
20894,9,25,6,1,2.777777778,3,73.75,17.7,2.95,8.194444444,8.85,9,1,1,1,0,197,0
20897,10,73,51,-6,7.3,6,194.95,130.05,-17.7,19.495,17.7,9,2,1.111111111,1,0.141176471,70,0
20898,6,19,12,-6,3.166666667,3,56.05,35.4,-17.7,9.341666667,8.85,4,2,1.5,1.5,0.24,134,0
20901,4,2,2,-2,0.5,1,12.7,12.7,-12.7,3.175,6.35,2,2,2,2,0.5,154,0
20902,6,33,24,1,5.5,2,190.35,133.2,6.35,31.725,12.7,6,1,1,1,0,114,0
20903,10,20,4,1,2,2,127,25.4,6.35,12.7,12.7,10,1,1,1,0,89,0
20906,2,3,2,1,1.5,1.5,8.85,5.9,2.95,4.425,4.425,2,1,1,1,0,116,0
20910,3,8,4,2,2.666666667,2,50.8,25.4,12.7,16.93333333,12.7,2,2,1.5,1.5,0,11,0
20914,793,5934,320,-32,7.48297604,5,16618.34,944,-81.6,20.95629256,17.37,353,15,2.246458924,1,0.017224246,12,0
20931,35,234,48,-11,6.685714286,4,732.7,141.6,-32.45,20.93428571,15,32,2,1.09375,1,0.056451613,57,0
20932,21,142,36,-9,6.761904762,4,440.5,106.2,-26.55,20.97619048,15,19,2,1.105263158,1,0.065789474,65,0
20933,8,22,8,1,2.75,2,68.1,23.6,2.95,8.5125,6.7,8,1,1,1,0,129,0
20934,24,40,12,-6,1.666666667,2,219,65.4,-32.7,9.125,10.9,22,2,1.090909091,1,0.259259259,45,0
20935,4,6,2,1,1.5,1.5,17.7,5.9,2.95,4.425,4.425,4,1,1,1,0,44,0
20936,26,90,12,-1,3.461538462,2.5,268.78,35.4,-2.95,10.33769231,7.375,20,2,1.3,1,0.010989011,66,0
20941,19,59,12,-2,3.105263158,2,73.75,15,-2.5,3.881578947,2.5,14,3,1.357142857,1,0.032786885,35,0
20956,59,695,84,-3,11.77966102,12,872.38,105,-3.75,14.78610169,15,49,5,1.204081633,1,0.007142857,54,0
20957,1,-1,-1,-1,-1,-1,-1.45,-1.45,-1.45,-1.45,-1.45,1,1,1,1,1,0,0
20961,125,946,100,1,7.568,3,1200.65,125,1.25,9.6052,3.75,81,18,1.543209877,1,0,29,0
20963,121,1049,100,1,8.669421488,6,1331.82,125,1.25,11.00677686,7.5,81,8,1.49382716,1,0,31,0
20964,1,2,2,2,2,2,5.1,5.1,5.1,5.1,5.1,1,1,1,1,0,0,0
20966,41,589,200,1,14.36585366,6,698.25,212,1.25,17.0304878,7.5,28,6,1.464285714,1,0,93,0
20967,76,257,20,1,3.381578947,2,963.75,75,3.75,12.68092105,7.5,63,3,1.206349206,1,0,22,0
20969,250,1544,288,-144,6.176,4,5585.57,976.32,-488.16,22.34228,15,154,8,1.623376623,1,0.15766503,21,0
20970,222,1037,36,-2,4.671171171,4,3818.63,122.04,-7.5,17.20103604,15,135,8,1.644444444,1,0.002884615,21,0
20971,454,7244,1296,-1296,15.95594714,12,8431.82,1373.76,-1373.76,18.57229075,15,271,10,1.675276753,1,0.265388906,12,0
20972,528,6912,288,-12,13.09090909,12,8373.53,305.28,-15,15.85895833,15,302,22,1.748344371,1,0.003460208,18,0
20973,266,3743,384,-2,14.07142857,4.5,2371.15,211.2,-1.3,8.914097744,3.25,180,7,1.477777778,1,0.001067521,53,0
20974,303,6156,480,-334,20.31683168,7,3859.4,264,-217.1,12.73729373,4.55,195,15,1.553846154,1,0.084201131,13,0
20975,300,5979,768,-48,19.93,11.5,3827.55,499.2,-31.2,12.7585,7.475,219,9,1.369863014,1,0.019675357,118,0
20977,149,1522,128,-32,10.2147651,16,1878.18,135.68,-40,12.6052349,20,111,5,1.342342342,1,0.046963056,18,0
20978,178,1572,128,1,8.831460674,4,1940.68,135.68,1.25,10.90269663,5,132,7,1.348484848,1,0,17,0
20979,241,3362,128,-16,13.95020747,16,4032.26,135.68,-20,16.73136929,20,163,6,1.478527607,1,0.03887936,18,0
20980,12,18,4,-9,1.5,2.5,22.5,5,-11.25,1.875,3.125,11,2,1.090909091,1,0.333333333,80,0
20981,210,1781,48,-12,8.480952381,12,1513.85,40.8,-10.2,7.208809524,10.2,156,8,1.346153846,1,0.010555556,17,0
20982,215,1921,96,-2,8.934883721,6,1626.61,81.6,-1.7,7.565627907,5.1,152,8,1.414473684,1,0.002077922,22,0
20983,248,2593,120,-4,10.45564516,12,2197.81,102,-3.4,8.862137097,10.2,183,6,1.355191257,1,0.002692308,15,0
20984,177,3785,240,-24,21.38418079,24,1162.05,69.6,-6.96,6.565254237,6.96,135,5,1.311111111,1,0.006300866,26,0
20985,93,977,200,-12,10.50537634,2,1110.24,212,-15,11.93806452,2.5,64,10,1.453125,1,0.01611279,32,0
20986,57,448,100,1,7.859649123,2,528.05,106,1.25,9.264035088,2.5,36,6,1.583333333,1,0,49,0
20992,244,4160,288,1,17.04918033,6,1787.1,112.32,0.39,7.324180328,2.34,155,15,1.574193548,1,0,21,0
20996,176,2872,192,1,16.31818182,10,613.54,36.48,0.19,3.486022727,2.49,115,16,1.530434783,1,0,21,0
20997,5,15,6,1,3,3,74.25,29.7,4.95,14.85,14.85,4,2,1.25,1,0,30,0
20998,28,119,12,1,4.25,4,348.25,35.4,2.95,12.4375,11.8,27,2,1.037037037,1,0,39,0
21000,17,46,6,1,2.705882353,2,195.5,25.5,4.25,11.5,8.5,16,2,1.0625,1,0,60,0
21001,13,25,4,1,1.923076923,1,148.75,23.8,5.95,11.44230769,5.95,12,2,1.083333333,1,0,73,0
21002,5,13,3,2,2.6,3,55.25,12.75,8.5,11.05,12.75,5,1,1,1,0,143,0
21003,6,13,6,1,2.166666667,1.5,82.55,38.1,6.35,13.75833333,9.525,6,1,1,1,0,100,0
21011,2,18,16,2,9,9,26.1,23.2,2.9,13.05,13.05,2,1,1,1,0,3,0
21012,68,445,64,-3,6.544117647,6,903.34,108.16,-6.3,13.28441176,12.6,56,4,1.214285714,1,0.006696429,54,0
21014,70,1233,60,1,17.61428571,24,455.57,51,0.29,6.508142857,6.96,64,2,1.09375,1,0,231,0
